21$APL705$FINITE ELEMENT METHOD                              $B$""$4$3$0$2$100$53$2018$2
582$MSD891$MAJOR PROJECT (UNIQUE CORE)                        $P$""$6$0$0$12$60$26$2018$2
583$MSD892$MAJOR PROJECT (UNIQUE CORE)                        $P$""$6$0$0$12$60$50$2018$2
584$MSL301$ORGANIZATION AND PEOPLE MANAGEMENT                 $M$""$3$3$0$0$80$91$2018$2
585$MSL303$MARKETING MANAGEMENT                               $A$""$3$3$0$0$80$84$2018$2
586$MSL700$FUNDAMENTALS OF MANAGEMENT OF TECHNOLOGY           $T$FE$3$3$0$0$60$55$2018$2
587$MSL705A$HRM SYSTEMS                                        $R1$PC$1.5$1.5$0$0$60$34$2018$2
588$MSL705B$HRM SYSTEMS                                        $AA$PC$1.5$1.5$0$0$60$37$2018$2
589$MSL705C$HRM SYSTEMS                                        $AB$PC$1.5$1.5$0$0$60$32$2018$2
590$MSL706$BUSINESS LAWS                                      $D$PC$3$3$0$0$60$113$2018$2
591$MSL708A$FINANCIAL MANAGEMENT                               $T$PC$3$3$0$0$60$39$2018$2
592$MSL708B$FINANCIAL MANAGEMENT                               $F$PC$3$3$0$0$60$74$2018$2
593$MSL711A$STRATEGIC MANAGEMENT                               $AC$PC$3$3$0$0$60$41$2018$2
594$MSL711B$STRATEGIC MANAGEMENT                               $D$PC$3$3$0$0$60$32$2018$2
595$MSL713A$INFORMATION SYSTEMS MANAGEMENT                     $S$PC$3$3$0$0$60$35$2018$2
596$MSL713B$INFORMATION SYSTEMS MANAGEMENT                     $A$PC$3$3$0$0$60$42$2018$2
597$MSL713C$INFORMATION SYSTEMS MANAGEMENT                     $B1$PC$3$3$0$0$60$32$2018$2
598$MSL720A$MACROECONOMIC ENV. OF BUSINESS                     $E$PC$3$3$0$0$60$48$2018$2
599$MSL720B$MACROECONOMIC ENV. OF BUSINESS                     $H$PC$3$3$0$0$60$37$2018$2
600$MSL721$ECONOMETRICS                                       $T$SE$3$3$0$0$60$69$2018$2
601$MSL723$TELECOM SYSTEMS MANAGEMENT                         $K$""$3$3$0$0$60$21$2018$2
602$MSL727A$INTERPERSONAL BEHAVIOR & TEAM DYNAMICS             $Q1$SE$1.5$1.5$0$0$60$70$2018$2
603$MSL727B$INTERPERSONAL BEHAVIOR & TEAM DYNAMICS             $B1$SE$1.5$1.5$0$0$60$42$2018$2
604$MSL727C$INTERPERSONAL BEHAVIOR & TEAM DYNAMICS             $AA$SE$1.5$1.5$0$0$60$35$2018$2
605$MSL733A$ORGANIZATION THEORY                                $Q2$SE$1.5$1.5$0$0$60$71$2018$2
606$MSL733B$ORGANIZATION THEORY                                $B2$SE$1.5$1.5$0$0$60$41$2018$2
607$MSL733C$ORGANIZATION THEORY                                $A2$SE$1.5$1.5$0$0$60$31$2018$2
608$MSL740$QUANTITATIVE METHODS IN MGMT.                      $Q$SE$3$3$0$0$60$39$2018$2
609$MSL745A$OPERATIONS MANAGEMENT                              $AB$PC$3$3$0$0$60$46$2018$2
610$MSL745B$OPERATIONS MANAGEMENT                              $E$PC$3$3$0$0$60$31$2018$2
611$MSL780$MANAGERIAL ECONOMICS                               $R2$PC$1.5$1.5$0$0$60$43$2018$2
612$MSL802$MGMT. OF INTELLECTUAL PR. RIG.                     $U$PE$3$3$0$0$60$31$2018$2
613$MSL806$MERGERS & ACQUISITIONS                             $J$PE$3$3$0$0$60$15$2018$2
614$MSL825$STRATEGIES IN FUNCTIONAL MGMT.                     $Q$PE$3$3$0$0$60$14$2018$2
615$MSL827$INTERNATIONAL COMPETITIVENESS                      $R$PE$3$3$0$0$60$20$2018$2
616$MSL849$CURRENT & EM. ISS. IN MA. MGMT                     $R$PE$3$3$0$0$60$26$2018$2
617$MSL859$Current and Emerging Issues in IT Management $S$PE$3$3$0$0$60$90$2018$2
618$MSL863$ADVERTISING AND SALESPROMOTION MANAGEMENT          $U$PE$3$3$0$0$60$111$2018$2
619$MSL865$SALES MANAGEMENT                                   $T$""$3$3$0$0$60$93$2018$2
620$MSL870$CORPORATE GOVERNANCE                               $U1$PE$1.5$1.5$0$0$60$10$2018$2
621$MSL871$BANKING AND FINANCIAL SERVICES                     $R2$PE$1.5$1.5$0$0$60$26$2018$2
622$MSL873$SECURITY ANALYSIS & PORTFOLIOMANAGEMENT            $AB$PE$3$3$0$0$60$54$2018$2
623$MSL874$INDIAN FINANCIAL SYSTEM                            $R1$PE$1.5$1.5$0$0$60$31$2018$2
624$MSL875$INTERNATIONAL FINANCIAL MANAGEMENT                 $S$PE$3$3$0$0$60$14$2018$2
625$MSL878$ELECTRONIC PAYMENTS                                $T2$PE$1.5$1.5$0$0$60$14$2018$2
626$MSL879$CURRENT AND EMERGING ISSUES IN FINANCE             $U$PE$3$3$0$0$60$62$2018$2
627$MSL886$IT CONSULTING AND PRACTICE                         $U$PE$3$3$0$0$60$16$2018$2
628$MSL894$SOCIAL MEDIA AND BUSINESS PRACTICES                $R$PE$3$3$0$0$60$32$2018$2
629$MSL896$INTERNATIONAL ECONOMIC POLICY                      $Q$PE$3$3$0$0$60$20$2018$2
630$MST894$SOCIAL  SECTOR ATTACHMENT                          $P$NC$1$0$0$2$60$67$2018$2
631$MSV802$SELECTED TOPICS IN FINANCE                         $X$""$1$1$0$0$60$46$2018$2
632$MSV803$SELECTED TOPICS IN I T MANAGEMENT                  $X$""$1$1$0$0$60$11$2018$2
633$MSV805$SELECTED TOPICS IN ECONOMICS                       $X$""$1$1$0$0$60$28$2018$2
634$MTD350$MINI PROJECT                                       $P$""$3$0$0$6$30$12$2018$2
635$MTD421$B.TECH. PROJECT                                    $Q$""$4$0$0$8$100$43$2018$2
636$MTD702$PROJECT 2                                          $P$""$6$0$0$12$30$19$2018$2
637$MTD852$MAJOR PROJECT PARTII                               $Q$""$16$0$0$32$60$1$2018$2
638$MTD854$MAJOR PROJECT PART II                              $P$""$18$0$0$36$30$20$2018$2
639$MTL100$CALCULUS                                           $D$""$4$3$1$0$400$474$2018$2
640$MTL101$LINEAR ALGEBRA & DIFFE. EQUA.                      $C$""$4$3$1$0$400$471$2018$2
641$MTL102$DIFFERENTIAL EQUATIONS                             $E$""$3$3$0$0$100$160$2018$2
642$MTL103$OPTIMIZATION METHODS & APPL.                       $D$""$3$3$0$0$140$156$2018$2
643$MTL106$PROBABILITY & STOCHASTIC PRO.                      $D$""$4$3$1$0$200$226$2018$2
644$MTL108$INTRODUCTION TO STATISTICS                         $D$""$4$3$1$0$175$166$2018$2
645$MTL122$REAL AND COMPLEX ANALYSIS                          $F$""$4$3$1$0$100$76$2018$2
646$MTL145$NUMBER THEORY                                      $AA$""$3$3$0$0$100$100$2018$2
647$MTL390$STATISTICAL METHODS                                $J$""$4$3$1$0$100$77$2018$2
648$MTL411$FUNCTIONAL ANALYSIS                                $F$""$3$3$0$0$100$91$2018$2
649$MTL506$COMPLEX ANALYSIS                                   $B$""$4$3$1$0$60$57$2018$2
650$MTL507$TOPOLOGY                                           $D$""$4$3$1$0$60$54$2018$2
651$MTL508$MATHEMATICAL PROGRAMMING                           $AB$""$4$3$1$0$60$58$2018$2
652$MTL509$NUMERICAL  ANALYSIS                                $AA$""$4$3$1$0$60$51$2018$2
653$MTL510$MEASURE AND INTEGRATION                            $C$""$4$3$1$0$60$53$2018$2
654$MTL725$STOCHASTIC PROCESSES & ITS APP                     $H$""$3$3$0$0$60$50$2018$2
655$MTL730$CRYPTOGRAPHY                                       $A$""$3$3$0$0$150$136$2018$2
656$MTL732$FINANCIAL MATHEMATICS                              $A$""$3$3$0$0$60$52$2018$2
657$MTL742$OPERATOR THEORY                                    $AD$""$3$3$0$0$60$36$2018$2
658$MTL755$ALGEBRAIC GEOMETRY                                 $M$""$3$3$0$0$60$46$2018$2
659$MTL768$GRAPH THEORY                                       $AA$""$3$3$0$0$60$68$2018$2
660$MTL782$DATA MINING                                        $B$""$4$3$0$2$60$62$2018$2
661$MTL792$MODERN METH. IN PAR. DIFF. EQ.                     $AA$""$3$3$0$0$60$14$2018$2
662$MTP290$COMPUTING LABORATORY                               $Q$""$2$0$0$4$100$67$2018$2
663$NEN101$PROFE. ETHICS &SOCIAL RESP. 2                      $P$""$0.5$0$0$1$1000$910$2018$2
664$NLN101$LANGUAGE & WRITING SKILL 2                         $P$""$1$0$0$2$100$916$2018$2
665$PTL702$POLYMER PROCESSING                                 $B$""$3$3$0$0$60$18$2018$2
666$PTL706$POLYMER TESTING & PROPERTIES                       $M$""$3$3$0$0$60$18$2018$2
667$PTL709$POLYMER TECHNOLOGY                                 $D$""$3$3$0$0$60$19$2018$2
668$PTL712$POLYMER COMPOSITES                                 $E$""$3$3$0$0$60$23$2018$2
669$PTP720$POLYMER ENGINEERING LAB                            $AA$""$1$0$0$2$60$15$2018$2
670$PTV700$SPECIAL LECTURES IN POLYMERS:                      $X$""$1$1$0$0$30$17$2018$2
671$PYD411$PROJECT I                                          $Q$""$4$0$0$8$100$10$2018$2
672$PYD412$MAJOR PROJECT PART II                              $Q$""$8$0$0$16$100$13$2018$2
673$PYD414$PROJECT III                                        $Q$""$4$0$0$8$100$1$2018$2
674$PYD562$PROJECT II                                         $Q$""$6$0$0$12$60$44$2018$2
675$PYD658$MINI PROJECT                                       $Q$""$3$0$0$6$60$7$2018$2
676$PYD802$MAJOR PROJECT PART II                              $Q$""$12$0$0$24$60$16$2018$2
677$PYD852$MAJOR PROJECT PART II                              $Q$""$12$0$0$24$60$17$2018$2
678$PYL100$ELECTROMAGNETIC WAVES&QUA.MEC.                     $A$""$3$3$0$0$100$485$2018$2
679$PYL102$PRINCIPLES OF ELECT. MATERIALS                     $H$""$3$3$0$0$150$157$2018$2
680$PYL111$ELECTRODYNAMICS                                    $A$""$4$3$1$0$100$64$2018$2
681$PYL112$QUANTUM MECHANICS                                  $E$""$4$3$1$0$100$110$2018$2
682$PYL114$SOLID STATE PHYSICS                                $D$""$4$3$1$0$100$60$2018$2
683$PYL202$STATISTICAL PHYSICS                                $F$""$4$3$1$0$100$56$2018$2
684$PYL204$COMPUTATIONAL PHYSICS                              $J$""$4$3$1$0$100$57$2018$2
685$PYL302$NUCLEAR SCIENCE & ENGINEERING                      $E$""$3$3$0$0$100$16$2018$2
686$PYL304$SUPERCONDUCTIVITY & APPLICAT.                      $C$""$3$3$0$0$100$18$2018$2
687$PYL306$MICROELECTRONIC DEVICES                            $K$""$3$3$0$0$100$28$2018$2
688$PYL312$SEMICONDUCTOR OPTOELECTRONICS                      $D$""$3$3$0$0$100$25$2018$2
689$PYL331$APPLIED QUANTUM MECHANICS                          $H$""$3$3$0$0$50$10$2018$2
690$PYL552$ELECTRODYNAMICS                                    $E$""$4$3$1$0$60$52$2018$2
691$PYL555$QUANTUM MECHANICS I                                $E$""$4$3$1$0$60$8$2018$2
692$PYL556$QUANTUM MECHANICS II                               $B$""$3$3$0$0$60$50$2018$2
693$PYL558$STATISTICAL MECHANICS                              $F$""$4$3$1$0$60$54$2018$2
694$PYL560$APPLIED OPTICS                                     $H$""$4$3$1$0$60$53$2018$2
695$PYL563$SOLID STATE PHYSICS                                $D$""$4$3$1$0$60$53$2018$2
696$PYL651$ADVANCED SOLID STATE PHYSICS                       $C$""$3$3$0$0$35$6$2018$2
697$PYL659$LASER SPECTROSCOPY                                 $F$""$3$3$0$0$60$21$2018$2
698$PYL704$SC. & TECHNOLOGY OF THIN FILMS                     $J$""$3$3$0$0$60$43$2018$2
699$PYL705$NANOSTRUCTURED MATERIALS                           $E$""$3$3$0$0$60$36$2018$2
700$PYL707$CHARACTERISATION TEC. FOR MAT.                     $D$""$3$3$0$0$60$27$2018$2
701$PYL725$SURFACE PHYSICS AND ANALYSIS                       $H$""$3$3$0$0$60$30$2018$2
702$PYL726$SEMICONDUCTOR DEVICE TECHNOLOGY                    $K$""$3$3$0$0$60$16$2018$2
703$PYL727$ENERGY MATERIALS AND DEVICES                       $M$""$3$3$0$0$60$17$2018$2
704$PYL742$GEN. RELATIVITY & INTRO. ASTR.                     $M$""$3$3$0$0$75$38$2018$2
705$PYL743$GROUP THEORY & ITS APPLICATION                     $A$""$3$3$0$0$60$66$2018$2
706$PYL744$HIGH ENERGY PHYSICS                                $K$""$3$3$0$0$75$31$2018$2
707$PYL746$NON EQUILIBRIUM STATISTICAL ME                     $L$""$3$3$0$0$40$14$2018$2
708$PYL748$QUANTUM OPTICS                                     $B$""$3$3$0$0$60$26$2018$2
709$PYL752$LASER SYSTEMS AND APPLICATIONS                     $J$""$3$3$0$0$60$27$2018$2
710$PYL756$Fourier Optics and Holography $L$PC$3$3$0$0$60$31$2018$2
711$PYL760$BIOMEDICAL OPTICS & BIO PHOTO.                     $H$""$3$3$0$0$60$35$2018$2
712$PYL762$STATISTICAL OPTICS                                 $A$""$3$3$0$0$60$20$2018$2
713$PYL770$ULTRA FAST OPTICS & APPLICATI.                     $F$""$3$3$0$0$60$24$2018$2
714$PYL772$PLASMONIC SENSORS                                  $K$""$3$3$0$0$60$9$2018$2
715$PYL780$DIFFRACTIVE AND MICRO OPTICS                       $M$""$3$3$0$0$60$17$2018$2
716$PYL792$OPTICAL ELECTRONICS                                $E$""$3$3$0$0$60$26$2018$2
717$PYL800$NUM. & COMP. METH. IN RESEARCH                     $B$""$3$3$0$0$65$61$2018$2
718$PYL879$SELECTED TOPICS IN APPLIED OPT                     $X$""$3$3$0$0$60$1$2018$2
719$PYL891$FIBER OPTIC COMPONENTS AND DEVICES                 $D$""$3$3$0$0$60$16$2018$2
720$PYP100$PHYSICS LABORATORY                                 $Q$""$2$0$0$4$100$459$2018$2
721$PYP212$ENGG. PHYSICS LABORATORY II                        $Q$""$3$0$0$6$100$47$2018$2
722$PYP222$ENGINEERING PHYSICS LAB.   IV                      $Q$""$4$0$0$8$100$56$2018$2
723$PYP562$LABORATORY II                                      $Q$""$4$0$0$8$60$51$2018$2
724$PYP702$SOLID STATE MATERIALS LABORATORY II                $Q$""$3$0$0$6$60$20$2018$2
725$PYP762$ADVANCED OPTICS LABORATORY                         $Q$""$3$0$0$6$60$17$2018$2
726$PYP764$ADVANCED OPTICAL WORKSHOP                          $Q$""$3$0$0$6$60$1$2018$2
727$PYQ303$SEMINAR COURSE   III                               $Q$""$1$0$0$2$100$76$2018$2
728$PYS300$INDEPENDENT STUDY                                  $X$""$3$0$3$0$100$2$2018$2
729$RDD750$MINOR PROJECT                                      $Q$OE$3$0$0$6$20$1$2018$2
730$RDL700$BIOMAS PRODUCTION                                  $J$OE$3$3$0$0$60$49$2018$2
731$RDL701$RURAL INDUSTRIALISATION POLICES PROGRAMMES & CASE  $E$OE$3$3$0$0$100$99$2018$2
732$RDL710$RURAL INDIA AND PLANNING FOR DEVELOPMENT           $J$OE$3$3$0$0$50$65$2018$2
733$RDL722$RURAL ENERGY SYSTEMS                               $F$OE$3$3$0$0$100$102$2018$2
734$RDL726$HERBAL,MEDICINAL ANDAROMATIC PRODUCTS              $M$OE$3$3$0$0$30$30$2018$2
735$RDL740$TECHNOLOGY OF UTILIZATION OF WASTELANDS & WEEDS    $AA$OE$3$3$0$0$50$44$2018$2
736$RDL760$FOOD QUALITY AND SAFETY                            $J$OE$3$3$0$0$50$55$2018$2
737$RDP750$BIOMASS LABORATORY                                 $Q$OE$3$0$0$6$20$13$2018$2
738$RDQ301$SEMINAR COURSE   I                                 $X$OE$1$0$0$2$30$32$2018$2
739$RDQ302$SEMINAR COURSE   II                                $X$OE$1$0$0$2$30$33$2018$2
740$RDQ303$SEMINAR COURSE   III                               $X$OE$1$0$0$2$30$34$2018$2
741$RDQ304$SEMINAR COURSE IV                                  $X$OE$1$0$0$2$30$31$2018$2
742$RDQ305$SEMINAR COURSE V                                   $X$OE$1$0$0$2$30$44$2018$2
743$SBC796$GRADUATE STUDENT SEMINAR II                        $P$""$0.5$0$0$1$60$13$2018$2
744$SBD301$MINI PROJECT                                       $Q$""$3$0$0$6$10$3$2018$2
745$SBD895$MS RESEARCH PROJECT                                $P$""$40$0$0$80$60$5$2018$2
746$SBL100$INTRO. TO BIOLOGY FOR ENGINEER                     $C$""$4$3$0$2$600$402$2018$2
747$SBL201$HIGH DIMENSIONAL BIOLOGY                           $F$""$3$3$0$0$60$14$2018$2
748$SBL701$BIOMETRY                                           $M$""$3$3$0$0$60$10$2018$2
749$SBL703$ADVANCED CELL BIOLOGY                              $H$""$3$3$0$0$50$14$2018$2
750$SBL704$HUMAN VIROLOGY                                     $E$""$3$3$0$0$60$12$2018$2
751$SBL705$BIOLOGY OF PROTEINS                                $B$""$3$3$0$0$60$19$2018$2
752$SBL714$PLANT BIOTECH. & HUMAN HEALTH                      $F$""$3$3$0$0$60$1$2018$2
753$SBL720$GENOME AND HEALTHCARE                              $B$""$3$3$0$0$60$5$2018$2
754$SBP200$INTRODUCTION TO PRACTICAL MODERN BIOLOGY           $Q$""$2$0$0$4$60$7$2018$2
755$SBS800$INDEPENDENT STUDY                                  $Q$""$3$0$3$0$10$1$2018$2
756$SBV750$BIOINSPIRATION AND BIOMIMETICS                     $K$""$1$1$0$0$60$21$2018$2
757$SBV884$ELEMENTS OF NEUROSCIENCE                           $J$""$1$1$0$0$60$8$2018$2
462$HUL212$MICROECONOMICS                                     $M$HU$4$3$1$0$100$100$2018$2
463$HUL231$AN INTRODUCTION TO LITERATURE                      $J$HU$4$3$1$0$99$102$2018$2
464$HUL239$INDIAN FICTION IN ENGLISH                          $M$HU$4$3$1$0$100$101$2018$2
465$HUL242$FUNDAMENTALS OF LANGUAGE SCIENCES                  $A$HU$4$3$1$0$300$301$2018$2
466$HUL261$INTRODUCTION TO PSYCHOLOGY                         $A$HU$4$3$1$0$100$99$2018$2
467$HUL267$POSITIVE PSYCHOLOGY                                $A$HU$4$3$1$0$88$93$2018$2
468$HUL271$INTRODUCTION TO SOCIOLOGY                          $M$HU$4$3$1$0$100$97$2018$2
469$HUL274$RETHINKING THE INDIAN TRADITION                    $B$HU$4$3$1$0$100$104$2018$2
470$HUL286A$SOCIAL SCIENCE APPROACHES TO DEVELOPMENT           $M$HU$4$3$1$0$100$115$2018$2
758$SID880$MINOR PROJECT IN INFORMATION TECHNOLOGY            $P$""$3$0$0$6$30$0$2018$2
759$SID890$MS RESEARCH PROJECT                                $P$""$40$0$0$80$30$4$2018$2
760$SIL765$NETWORKS & SYSTEM SECURITY                         $B$""$4$3$0$2$40$33$2018$2
761$SIV895$SPECIAL MODULE ON INTELLIGENT INFO. PROCESSING     $P$""$1$1$0$0$30$1$2018$2
762$TTC410$COLLOQUIUM (TT)                                    $P$""$3$0$3$0$30$2$2018$2
763$TTT410$PRACTICAL TRAINING                                 $P$""$0$0$0$0$10$2$2018$2
764$TXD357$MINOR DESIGN PROJECT   VII                         $P$""$2$0$0$4$120$1$2018$2
765$TXD358$MINOR DESIGN PROJECT VIII                          $P$""$2$0$0$4$120$1$2018$2
766$TXD401$MAJOR PROJECT PART I                               $P$DC$4$0$0$8$120$14$2018$2
767$TXD402$MAJOR PROJECT PART II                              $P$""$8$0$0$16$120$19$2018$2
768$TXD803$MAJOR PROJECT PART II                              $P$PC$12$0$0$24$30$22$2018$2
769$TXD804$MAJOR PROJECT PART II                              $P$PC$12$0$0$24$30$15$2018$2
770$TXD806$MAJOR PROJECT PART II (TCP) $P$PC$12$0$0$24$30$10$2018$2
771$TXL211$STRUCTURE & PHYSICAL PROPERTIE                     $D$DC$3$3$0$0$120$125$2018$2
772$TXL221$YARN MANUFACTURE I                                 $E$DC$3$3$0$0$120$109$2018$2
773$TXL231$FABRIC MANUFACTURE I                               $B$DC$3$3$0$0$120$119$2018$2
774$TXL241$TECH. OF TEXT. PREPARATION & F                     $F$DC$3$3$0$0$120$129$2018$2
775$TXL361$EVALUATION OF TEXTILE MATERIAL                     $D$DC$3$3$0$0$120$92$2018$2
776$TXL371$THEORY OF TEXTILE STRUCTURES                       $C$DC$4$3$1$0$120$123$2018$2
777$TXL372$SPECIALITY YARNS AND FABRICS                       $J$DC$2$2$0$0$120$97$2018$2
778$TXL714$ADVANCED MATERIALS CHARACTERIZATION TECHNIQUES     $P$PC$1$1$0$0$75$40$2018$2
779$TXL715$TECHNOLOGY OF SOLUTION SPUN FIBRES                 $B$PC$3$3$0$0$75$17$2018$2
780$TXL725$MECHANICS OF SPINNING MACHINES                     $A$PC$3$3$0$0$40$18$2018$2
781$TXL740$SC. & APP. OF NANOTEC. IN TEX.                     $E$PE$3$3$0$0$65$77$2018$2
782$TXL748$ADVANCES IN FINISHING OF TEXTILES                  $F$PC$3$3$0$0$40$30$2018$2
783$TXL754$SUSTAINABLE CHEMICAL PROCESSING OF TEXTILES        $B$PC$2$2$0$0$40$11$2018$2
784$TXL756$TEXTILE AUXILIARIES                                $J$PE$3$3$0$0$65$13$2018$2
785$TXL766$DE. & MANUF. OF TEXT. STR. CO.                     $B$PE$3$3$0$0$65$69$2018$2
786$TXL771$ELECTRONICS AND CONTROLS FOR TEXTILEINDUSTRY       $J$PE$4$3$0$2$65$54$2018$2
787$TXL775$TECHNICAL TEXTILES                                 $D$""$3$3$0$0$65$57$2018$2
788$TXL777$PRODUCT DESIGN AND DEVELOPMENT                     $H$PE$3$3$0$0$65$27$2018$2
789$TXL782$PRODUCTION & OPERATIONS MGMT                       $F$PE$3$3$0$0$65$53$2018$2
790$TXL783$DESIGN OF EXPER. & STAT. TECH.                     $E$""$3$3$0$0$65$71$2018$2
791$TXP212$MANUFACTURED FIBRE TECHNO. LAB                     $C$DC$1$0$0$2$120$97$2018$2
792$TXP221$YARN MANUFACTURE LABORATORYI                       $E$DC$1$0$0$2$120$108$2018$2
793$TXP231$FABRIC MANUFACTURE LAB.   I                        $B$DC$1$0$0$2$120$112$2018$2
794$TXP241$TECH. OF TEX. PRE. & FIN. LAB.                     $F$DC$1.5$0$0$3$120$117$2018$2
795$TXP361$EVALUATION OF TEXTILES LAB                         $D$DC$1$0$0$2$120$92$2018$2
796$TXP716$Fibre Production and Post Spinning Operation Laboratory $F$PE$2$0$0$4$65$17$2018$2
797$TXP725$MECHANICS OF SPINNING MACHINES LAB                 $P$PC$1$0$0$2$40$18$2018$2
798$TXP748$TEXTILE PREPARATION AND FINISHING LAB              $P$PC$1$0$0$2$25$17$2018$2
799$TXP761$EVALUATION OF TEXTILE MATERIALS                    $C$PC$2$0$0$4$75$19$2018$2
800$TXQ302$SEMINAR COURSE 2                                   $P$""$1$0$0$2$120$128$2018$2
801$VED750$MINOR PROJECT                                      $P$""$3$0$0$6$60$0$2018$2
802$VEL700$HUMAN VALUES AND TECHNOLOGY                        $M$""$3$2$1$0$60$54$2018$2
